tp,q,a,txt,src,domain,set
Simple,Какие цели определяет Трудовой кодекс Российской Федерации для трудового законодательства?,"Установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.","Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.""",labour.pdf,law,labour
With errors,Каковы цли трудвого законодатльства РФ?,"Установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.","Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Trash,"Какие вообще цели, задачи, направления, аспекты или что-то еще определяет Трудовой кодекс Российской Федерации для регулирования трудовых отношений в стране?","Установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.","Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Reformulation,Устанавливает ли Трудовой кодекс РФ государственные гарантии трудовых прав?,Да,"Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Incorrect by design,Определяет ли Трудовой кодекс РФ гарантии только для работодателей?,Нет,"Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие штрафы предусмотрены за нарушение условий коллективного договора?,В предоставленном тексте информация о штрафах за нарушение условий коллективного договора отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Simple,Какие основные принципы правового регулирования трудовых отношений указаны в Трудовом кодексе РФ?,"Свобода труда, запрет дискриминации, защита от безработицы, право на справедливые условия труда, равенство прав и возможностей работников.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Свобода труда, включая право на труд... запрет дискриминации в сфере труда...""",labour.pdf,law,labour
With errors,Каковы оснвные принцпы праввого регулирования трудвых отношений?,"Свобода труда, запрет дискриминации, защита от безработицы, право на справедливые условия труда, равенство прав и возможностей работников.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Свобода труда, включая право на труд... запрет дискриминации в сфере труда...""",labour.pdf,law,labour
Trash,"Какие вообще основные принципы, аспекты и направления указаны в Трудовом кодексе РФ для регулирования трудовых отношений?","Свобода труда, запрет дискриминации, защита от безработицы, право на справедливые условия труда, равенство прав и возможностей работников.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Свобода труда, включая право на труд... запрет дискриминации в сфере труда...""",labour.pdf,law,labour
Reformulation,Указан ли в Трудовом кодексе РФ запрет дискриминации в сфере труда?,Да,"Статья 2. Основные принципы правового регулирования трудовых отношений: ""Запрещение принудительного труда и дискриминации в сфере труда...""",labour.pdf,law,labour
Incorrect by design,Указывает ли Трудовой кодекс РФ только права работодателей?,Нет,"Статья 2. Основные принципы правового регулирования трудовых отношений: ""Обеспечение права каждого работника... обеспечение равенства возможностей работников...""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие санкции предусмотрены за нарушение правил охраны труда?,В предоставленном тексте информация о санкциях за нарушение правил охраны труда отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Simple,"Что включает в себя понятие ""принудительный труд"" согласно Трудовому кодексу РФ?","Выполнение работы под угрозой наказания (насильственного воздействия), включая дисциплинарные меры или дискриминацию.","Статья 4. Запрещение принудительного труда: ""Принудительный труд - выполнение работы под угрозой применения какого-либо наказания (насильственного воздействия)...""",labour.pdf,law,labour
With errors,"Что вклюает понтяие ""принудтельный трд"" соглано ТК РФ?","Выполнение работы под угрозой наказания (насильственного воздействия), включая дисциплинарные меры или дискриминацию.","Статья 4. Запрещение принудительного труда: ""Принудительный труд - выполнение работы под угрозой применения какого-либо наказания (насильственного воздействия)...""",labour.pdf,law,labour
Trash,"Что вообще включает в себя понятие ""принудительный труд"", как оно определяется в Трудовом кодексе Российской Федерации?","Выполнение работы под угрозой наказания (насильственного воздействия), включая дисциплинарные меры или дискриминацию.","Статья 4. Запрещение принудительного труда: ""Принудительный труд - выполнение работы под угрозой применения какого-либо наказания (насильственного воздействия)...""",labour.pdf,law,labour
Reformulation,Считается ли выполнение работы под угрозой насилия принудительным трудом?,Да,"Статья 4. Запрещение принудительного труда: ""Принудительный труд - выполнение работы под угрозой применения какого-либо наказания (насильственного воздействия)...""",labour.pdf,law,labour
Incorrect by design,Является ли любой вид добровольной работы принудительным трудом?,Нет,"Статья 4. Запрещение принудительного труда: ""Для целей настоящего Кодекса принудительный труд не включает в себя работу... обусловленную законодательством о воинской обязанности или чрезвычайными обстоятельствами.""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие виды компенсаций предусмотрены для работников при увольнении по сокращению штата?,В предоставленном тексте информация о компенсациях при увольнении по сокращению штата отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Simple,Какие задачи трудового законодательства указаны в Трудовом кодексе РФ?,"Создание правовых условий для согласования интересов сторон трудовых отношений, регулирование трудовых отношений и связанных с ними отношений.","Статья 1. Цели и задачи трудового законодательства: ""Основными задачами трудового законодательства являются создание необходимых правовых условий для достижения оптимального согласования интересов сторон трудовых отношений...""",labour.pdf,law,labour
With errors,Каковы задчи трудвого законодатльства в РФ?,"Создание правовых условий для согласования интересов сторон трудовых отношений, регулирование трудовых отношений и связанных с ними отношений.","Статья 1. Цели и задачи трудового законодательства: ""Основными задачами трудового законодательства являются создание необходимых правовых условий для достижения оптимального согласования интересов сторон трудовых отношений...""",labour.pdf,law,labour
Trash,"Какие вообще задачи, цели, направления или что-то еще указаны в Трудовом кодексе РФ для регулирования трудовых отношений?","Создание правовых условий для согласования интересов сторон трудовых отношений, регулирование трудовых отношений и связанных с ними отношений.","Статья 1. Цели и задачи трудового законодательства: ""Основными задачами трудового законодательства являются создание необходимых правовых условий для достижения оптимального согласования интересов сторон трудовых отношений...""",labour.pdf,law,labour
Reformulation,"Указано ли в Трудовом кодексе РФ, что одной из задач является регулирование трудовых отношений?",Да,"Статья 1. Цели и задачи трудового законодательства: ""Основными задачами трудового законодательства являются... правовое регулирование трудовых отношений и иных непосредственно связанных с ними отношений...""",labour.pdf,law,labour
Incorrect by design,Указывает ли Трудовой кодекс РФ только задачи работодателей?,Нет,"Статья 1. Цели и задачи трудового законодательства: ""Основными задачами трудового законодательства являются создание необходимых правовых условий для достижения оптимального согласования интересов сторон трудовых отношений...""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие меры предусмотрены для защиты работников от дискриминации на рабочем месте?,В предоставленном тексте информация о мерах защиты от дискриминации отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Simple,Что такое социальное партнерство согласно Трудовому кодексу РФ?,"Социальное партнерство — это система взаимодействия работников, работодателей и государства для регулирования трудовых отношений.","Статья 2. Основные принципы правового регулирования: ""Социальное партнерство, включающее право на участие работников, работодателей... в договорном регулировании трудовых отношений.""",labour.pdf,law,labour
With errors,Что тако соцальное партнерсво соглано ТК РФ?,"Социальное партнерство — это система взаимодействия работников, работодателей и государства для регулирования трудовых отношений.","Статья 2. Основные принципы правового регулирования: ""Социальное партнерство, включающее право на участие работников, работодателей... в договорном регулировании трудовых отношений.""",labour.pdf,law,labour
Trash,Что вообще включает в себя понятие социального партнерства согласно Трудовому кодексу Российской Федерации?,"Социальное партнерство — это система взаимодействия работников, работодателей и государства для регулирования трудовых отношений.","Статья 2. Основные принципы правового регулирования: ""Социальное партнерство, включающее право на участие работников, работодателей... в договорном регулировании трудовых отношений.""",labour.pdf,law,labour
Reformulation,"Является ли социальное партнерство системой взаимодействия работников, работодателей и государства?",Да,"Статья 2. Основные принципы правового регулирования: ""Социальное партнерство, включающее право на участие работников, работодателей... в договорном регулировании трудовых отношений.""",labour.pdf,law,labour
Incorrect by design,Является ли социальное партнерство обязательством только работников?,Нет,"Статья 2. Основные принципы правового регулирования: ""Социальное партнерство, включающее право на участие работников, работодателей... в договорном регулировании трудовых отношений.""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие виды социальных гарантий предоставляются работникам при увольнении по сокращению штата?,В предоставленном тексте информация о социальных гарантиях при увольнении отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Simple,Какие права работников на отдых гарантирует Трудовой кодекс РФ?,"Трудовой кодекс РФ гарантирует право на ежедневный отдых, выходные и праздничные дни, а также оплачиваемый ежегодный отпуск. Эти права обеспечивают возможность восстановления сил и поддержания здоровья работников, что способствует их продуктивности.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Обеспечение права каждого работника на справедливые условия труда, включая ограничение рабочего времени, предоставление ежедневного отдыха, выходных и нерабочих праздничных дней, оплачиваемого ежегодного отпуска.""",labour.pdf,law,labour
With errors,Каковы прав работнков на отдх в ТК РФ?,"Трудовой кодекс РФ предоставляет право на ежедневный отдых, выходные и праздничные дни, а также оплачиваемый ежегодный отпуск. Эти меры направлены на защиту здоровья работников и создание благоприятных условий труда.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Обеспечение права каждого работника на справедливые условия труда, включая ограничение рабочего времени, предоставление ежедневного отдыха, выходных и нерабочих праздничных дней, оплачиваемого ежегодного отпуска.""",labour.pdf,law,labour
Trash,"Какие вообще права на отдых, включая ежедневный отдых, выходные дни, праздничные дни и оплачиваемый отпуск, гарантирует Трудовой кодекс Российской Федерации?","Трудовой кодекс РФ гарантирует право на ежедневный отдых, выходные и праздничные дни, а также оплачиваемый ежегодный отпуск. Эти права способствуют восстановлению сил работников после трудового дня или года работы.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Обеспечение права каждого работника на справедливые условия труда, включая ограничение рабочего времени, предоставление ежедневного отдыха, выходных и нерабочих праздничных дней, оплачиваемого ежегодного отпуска.""",labour.pdf,law,labour
Reformulation,Гарантирует ли Трудовой кодекс РФ право работников на оплачиваемый ежегодный отпуск?,Да,"Статья 2. Основные принципы правового регулирования трудовых отношений: ""Обеспечение права каждого работника на справедливые условия труда... включая оплачиваемый ежегодный отпуск.""",labour.pdf,law,labour
Incorrect by design,Предоставляет ли Трудовой кодекс РФ право только работодателям на отдых?,Нет,"Статья 2. Основные принципы правового регулирования трудовых отношений: ""Обеспечение права каждого работника на справедливые условия труда... включая ограничение рабочего времени... предоставление ежедневного отдыха...""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие правила предусмотрены для расчета компенсаций за сверхурочную работу?,В предоставленном тексте информация о правилах расчета компенсаций за сверхурочную работу отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Simple,Что подразумевается под дискриминацией в сфере труда согласно Трудовому кодексу РФ?,"Дискриминация в сфере труда — это ограничение или предоставление преимуществ в трудовых правах по признакам пола, расы, возраста и другим обстоятельствам, не связанным с деловыми качествами работника. Такие действия нарушают равенство возможностей для всех работников.","Статья 3. Запрещение дискриминации в сфере труда: ""Никто не может быть ограничен в трудовых правах и свободах или получать какие-либо преимущества... по признакам пола, расы... или другим обстоятельствам, не связанным с деловыми качествами работника.""",labour.pdf,law,labour
With errors,Что подразумеваеся под дискримнацией в сфере труа соглано ТК РФ?,"Дискриминация — это ограничение или предоставление преимуществ в трудовых правах по признакам пола, расы или другим обстоятельствам. Она препятствует равенству возможностей работников независимо от их личных характеристик.","Статья 3. Запрещение дискриминации в сфере труда: ""Никто не может быть ограничен в трудовых правах и свободах или получать какие-либо преимущества... по признакам пола, расы... или другим обстоятельствам, не связанным с деловыми качествами работника.""",labour.pdf,law,labour
Trash,Что вообще подразумевается под дискриминацией в сфере труда согласно положениям Трудового кодекса Российской Федерации?,"Дискриминация — это любые ограничения или преимущества в трудовых правах по признакам пола, расы или другим обстоятельствам. Она нарушает равенство возможностей работников и противоречит принципам правового регулирования трудовых отношений.","Статья 3. Запрещение дискриминации в сфере труда: ""Никто не может быть ограничен в трудовых правах и свободах или получать какие-либо преимущества... по признакам пола, расы... или другим обстоятельствам, не связанным с деловыми качествами работника.""",labour.pdf,law,labour
Reformulation,Запрещает ли Трудовой кодекс РФ дискриминацию по признакам пола в сфере труда?,Да,"Статья 3. Запрещение дискриминации в сфере труда: ""Никто не может быть ограничен в трудовых правах и свободах... по признакам пола...""",labour.pdf,law,labour
Incorrect by design,Считает ли Трудовой кодекс РФ дискриминацию допустимой практикой для работодателей?,Нет,"Статья 3. Запрещение дискриминации в сфере труда: ""Никто не может быть ограничен в трудовых правах и свободах...""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие меры предусмотрены для защиты работников от произвольного увольнения?,В предоставленном тексте информация о защите от произвольного увольнения отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Multi-Block,"Как соотносятся цели и задачи трудового законодательства (ст. 1) с основными принципами регулирования трудовых отношений (ст. 2), и каким образом принцип запрета дискриминации (ст. 3) способствует достижению этих целей?","Цели трудового законодательства, такие как установление гарантий трудовых прав и создание благоприятных условий труда, тесно связаны с основными принципами, включая свободу труда и равенство прав. Запрет дискриминации, закрепленный в статье 3, обеспечивает равные возможности для всех работников, что способствует достижению целей трудового законодательства, устраняя препятствия для реализации трудовых прав и свобод. Вместе, эти элементы формируют основу для справедливых и эффективных трудовых отношений, где каждый имеет возможность реализовать свой потенциал.","Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав и свобод граждан...""; Статья 2. Основные принципы правового регулирования трудовых отношений и иных непосредственно связанных с ними отношений: ""Исходя из общепризнанных принципов и норм международного права и в соответствии с Конституцией Российской Федерации основными принципами правового регулирования трудовых отношений и иных непосредственно связанных с ними отношений признаются: свобода труда...""; Статья 3. Запрещение дискриминации в сфере труда: ""Никто не может быть ограничен в трудовых правах и свободах или получать какие-либо преимущества в зависимости от пола, расы...""",labour.pdf,law,labour
Multi-Block,Какие формы работы не считаются принудительным трудом (ст. 4) и как эти исключения согласуются с задачами трудового законодательства по защите интересов государства (ст. 1) и обеспечению национальной безопасности (ст. 3)?,"В соответствии со статьей 4, к принудительному труду не относится работа, обусловленная воинской обязанностью, чрезвычайными обстоятельствами или приговором суда. Данные исключения согласуются с задачами трудового законодательства по защите интересов государства, поскольку направлены на обеспечение национальной безопасности и поддержание нормального функционирования общества в кризисных ситуациях. Запрет дискриминации и принудительного труда, а также указанные исключения, способствуют созданию сбалансированной системы, где соблюдаются права работников и обеспечиваются интересы государства.","Статья 4. Запрещение принудительного труда: ""Для целей настоящего Кодекса принудительный труд не включает в себя: работу, выполнение которой обусловлено законодательством о воинской обязанности...""; Статья 1. Цели и задачи трудового законодательства: ""Основными задачами трудового законодательства являются создание необходимых правовых условий для достижения оптимального согласования интересов сторон трудовых отношений, интересов государства...""; Статья 3. Запрещение дискриминации в сфере труда: ""...в целях обеспечения национальной безопасности...""",labour.pdf,law,labour
Multi-Block,"Как основные принципы трудового законодательства (ст. 2) влияют на определение правомерности ограничений в трудовых правах (ст. 3), и каким образом это соотносится с запретом принудительного труда (ст. 4)?","Основные принципы трудового законодательства, такие как равенство прав и запрет дискриминации, определяют критерии правомерности ограничений в трудовых правах. Статья 3 указывает, что ограничения, обусловленные требованиями, свойственными данному виду труда или заботой государства о лицах, нуждающихся в защите, не являются дискриминацией. Однако любые ограничения должны соответствовать принципу запрета принудительного труда (ст. 4), то есть не должны вынуждать работника к выполнению работы под угрозой наказания, если он имеет право отказаться от ее выполнения. Соблюдение этих принципов обеспечивает соблюдение баланса между интересами работодателя и защитой прав работников.","Статья 2. Основные принципы правового регулирования трудовых отношений и иных непосредственно связанных с ними отношений: ""равенство прав и возможностей работников;""; Статья 3. Запрещение дискриминации в сфере труда: ""Не являются дискриминацией установление различий, исключений, предпочтений, а также ограничение прав работников, которые определяются свойственными данному виду труда требованиями...""; Статья 4. Запрещение принудительного труда: ""Принудительный труд запрещен.""",labour.pdf,law,labour
